runID,stimulus,rxnTime,sessionNum,LED,target,RH,LH,RM,LM,NG,Spout_1,Spout_2,latency
7.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
7.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,True,0.0,0.0,
7.0,22.627417,-1.0,1.0,False,1.0,False,False,False,False,True,0.0,0.0,878.0
7.0,2.828427,902.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,314.0
7.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
7.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,True,0.0,0.0,764.0
7.0,22.627417,-1.0,1.0,False,1.0,False,False,False,False,True,0.0,0.0,
7.0,2.828427,923.0,1.0,False,0.0,False,True,False,False,False,0.16,0.0,0.0
7.0,2.0,1107.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,314.0
7.0,2.828427,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
7.0,22.627417,961.0,1.0,False,1.0,False,False,True,False,False,0.0,0.0,231.0
7.0,2.0,1765.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,662.0
7.0,32.0,859.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,182.0
7.0,2.828427,1135.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,320.0
7.0,32.0,926.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,215.0
7.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
7.0,22.627417,1473.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,491.0
7.0,2.828427,1621.0,1.0,False,0.0,False,True,False,False,False,0.0,0.26666666666666666,561.0
7.0,2.0,956.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,230.0
7.0,32.0,1552.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,529.0
7.0,22.627417,1258.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,380.0
7.0,22.627417,812.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,158.0
7.0,2.0,1054.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,357.0
7.0,2.828427,924.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,559.0
7.0,32.0,809.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,156.0
7.0,32.0,874.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,190.0
7.0,22.627417,813.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,159.0
7.0,2.828427,905.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,426.0
7.0,2.0,871.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,379.0
8.0,2.828427,936.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,226.0
8.0,2.0,1311.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,493.0
8.0,2.828427,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
8.0,2.0,747.0,1.0,False,0.0,False,True,False,False,False,0.0,0.0,128.0
8.0,2.828427,974.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,439.0
8.0,2.0,1561.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,549.0
8.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
8.0,2.828427,823.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,628.0
8.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
8.0,2.828427,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
8.0,2.0,711.0,1.0,False,0.0,False,True,False,False,False,0.5066666666666667,0.0,0.0
8.0,2.828427,1034.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,761.0
8.0,2.0,821.0,1.0,False,0.0,False,True,False,False,False,0.5733333333333334,0.0,34.0
8.0,2.828427,1316.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,412.0
8.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,
8.0,2.828427,-1.0,1.0,False,0.0,False,False,False,False,True,0.0,0.0,996.0
8.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,True,0.5866666666666667,0.0,0.0
8.0,2.828427,995.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,592.0
8.0,2.0,861.0,1.0,False,0.0,False,True,False,False,False,0.36,0.0,0.0
