runID,stimulus,rxnTime,sessionNum,LED,target,earlyRxn,RH,LH,RM,LM,NG,earlyLick_0,earlyLick_1,earlyLick_2,earlyLick_3,earlyLick_4,latency
11.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
11.0,32.0,923.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,923.0
11.0,2.0,1053.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,1053.0
11.0,32.0,868.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,868.0
11.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
11.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
12.0,2.0,929.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,929.0
12.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
12.0,2.0,1824.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,1824.0
12.0,32.0,739.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,739.0
12.0,2.0,946.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,946.0
12.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
12.0,32.0,774.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,774.0
12.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
12.0,32.0,783.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,783.0
12.0,2.0,208.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,208.0
